Appendix.Fifty most dominant topics in the Dutch Song Database, by sum of weights (>= 0.1) and corresponding words;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Topic;Sum of weights;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight
20;0,5108081144;la;0,184569338; ha;0,050105310; fa;0,046558031; hu;0,022613901; bom;0,016738721; alleluia;0,016295311; liere;0,014410819; vive;0,014299967; tiere;0,013967409; es;0,012748032; dobbe;0,012637180; ta;0,010530983; mi;0,009533311; lette;0,008757344; le;0,0087573440; don;0,006762000; geux;0,006318590; sol;0,005875180; deur;0,005099213; ho;0,004988360; vvant;0,004655803; tan;0,004544951; dop;0,004434098; med;0,004212393; ut;0,003768983; ti;0,003768983; nut;0,003658131; noe;0,003547279; velsen;0,0035472786; fal;0,003103869
21;0,1437698048;liefde;0,009012232; vreugd;0,008756687; deur;0,007461924; rein;0,007359706; denkt;0,006167161; tis;0,006150124; liefd;0,005996797; wt;0,005979761; nieuwe;0,005809397; tijd;0,005127943; iaer;0,004991652; klaar;0,004957579; kracht;0,004923507; heel;0,004855361; elk;0,0042761253; oft;0,004037616; blij;0,004037616; voorwaar;0,003952434; voort;0,003782071; druk;0,003747998; neemt;0,003696889; toch;0,003390235; diet;0,003219871; sijt;0,003202835; ghemoet;0,003185798; spoed;0,003185798; zwaar;0,003168762; prins;0,003151726; dies;0,0031006167; hart;0,003083580
22;0,1453044285;kerk;0,011656144; gods;0,010331582; geloof;0,008256435; godes;0,006181288; christus;0,006092984; deur;0,005695616; christen;0,005298247; werk;0,005165791; zou;0,004856727; iae;0,004812575; welk;0,004680118; vlees;0,004591814; kerken;0,004547662; nieuwe;0,004459358; toch;0,0043710539; hen;0,004238598; recht;0,004017837; hand;0,003885381; doed;0,003885381; mee;0,003797077; woord;0,003752925; heren;0,003752925; bloed;0,003532165; oude;0,003532165; man;0,003488013; hemel;0,003443861; zegt;0,003399709; eerste;0,003355557; eigen;0,0031347962; god;0,003090644
23;0,2120657037;zoete;0,023933215; mond;0,015374914; lieve;0,013362962; ei;0,013002613; ach;0,012852467; lipjes;0,010720399; kusjes;0,010299991; kussen;0,007206991; lust;0,006876670; vreugd;0,006696496; kom;0,006666466; kus;0,006456263; lusjes;0,006125942; lippen;0,005615447; minne;0,0055553887; ziel;0,004984835; lief;0,004774631; venus;0,004744602; net;0,004354224; rode;0,004264136; zieltje;0,004023903; schoot;0,003993874; kust;0,003993874; min;0,003963845; brand;0,003783670; nectar;0,003723612; twee;0,003723612; boezem;0,003693583; ay;0,0036635536; rust;0,003633525
24;0,1418865080;neen;0,012135243; weet;0,009755572; lang;0,006482179; weg;0,006428341; ander;0,006320663; sou;0,006277592; ei;0,006029934; tijd;0,005502315; man;0,004996231; kind;0,004737806; anders;0,004662431; zeid;0,004630128; zegt;0,004619360; beter;0,004597825; er;0,0043070959; zeggen;0,004167115; mee;0,003779477; lust;0,003736406; waarom;0,003650264; ja;0,003391838; och;0,003359535; alleen;0,003262625; zeg;0,003251857; acht;0,003208786; heel;0,003154948; min;0,003144180; heen;0,003111877; houdt;0,003068806; zoudt;0,0030688059; zien;0,003047270
25;0,2218419728;zee;0,030699547; schip;0,020298608; land;0,012883744; wind;0,011810099; mee;0,011071968; baren;0,010300285; varen;0,010199631; voort;0,007515518; ree;0,007314209; reis;0,006475424; komen;0,005905049; winden;0,005603087; water;0,005535984; schipper;0,005502432; vissen;0,0053682268; zeilen;0,005267573; menig;0,005234021; schepen;0,005099815; boord;0,005066264; vaart;0,004932058; vis;0,004797853; strand;0,004764301; hoort;0,004462339; storm;0,004395236; vloed;0,003690656; klaar;0,003690656; woeste;0,003657105; klip;0,003590002; hand;0,0034557960; haven;0,003254488
26;0,1579274740;geld;0,017011880; enen;0,014243951; man;0,010885115; hun;0,010698513; boer;0,010325309; oft;0,007961684; vrouw;0,006468869; huis;0,005753561; sou;0,005380357; boeren;0,005287056; ian;0,004976053; twee;0,003949742; ander;0,003949742; er;0,003607638; hoort;0,0036076382; zei;0,003576538; meest;0,003389936; zijnen;0,003327735; maken;0,003327735; jan;0,003234434; moeder;0,003078933; grote;0,003016732; hans;0,002923431; griet;0,002830130; achter;0,002581327; wijf;0,002550227; zegt;0,002550227; kleeren;0,002519127; sij;0,0024880264; eten;0,002425826
27;0,1723467983;lust;0,012210259; mens;0,010199951; werelds;0,007461076; rust;0,007420600; ziel;0,007285680; schat;0,007204728; geld;0,007177744; goud;0,006880920; wereld;0,006840444; zich;0,006772984; vreugd;0,006692032; leven;0,006651556; rijkdom;0,006449176; leeft;0,006314256; deugd;0,0058960037; rijk;0,005815052; gemoed;0,004951564; pracht;0,004924580; hert;0,004843628; alles;0,004344424; aardse;0,004061092; hoog;0,003939664; wens;0,003872204; acht;0,003858712; ieder;0,003737284; deel;0,003561888; hof;0,003373000; zoekt;0,003278556; schatten;0,0031706198; schijn;0,003157128
28;0,1640576658;god;0,013095799; word;0,009687936; geest;0,009207695; nog;0,009170753; ziel;0,009059929; jezus;0,007665383; gods;0,007480675; leven;0,007212848; hert;0,007000434; naa;0,006113836; alles;0,005273414; dog;0,005005587; zoon;0,004589994; zig;0,004525347; zich;0,0044884050; noit;0,004239049; steeds;0,004183637; eeuwig;0,004118989; heil;0,003998929; kom;0,003851162; jesus;0,003786514; re;0,003666454; ach;0,003629513; wild;0,003537159; niets;0,003454040; gemoed;0,003389392; alleen;0,003278567; zelfs;0,003232390; weg;0,0032139196; vind;0,002899916
29;0,2493426447;wijn;0,054058639; drinken;0,017783935; sa;0,013769120; vrolijk;0,013401566; drinkt;0,012185812; lustig;0,010348045; bier;0,009980491; vreugd;0,008962651; bacchus;0,007803444; zingen;0,007690350; nat;0,006446323; glas;0,006389776; elk;0,006107043; hei;0,005965676; drank;0,0057112160; vat;0,005400209; bachus;0,005117476; brengt;0,005004382; dorst;0,004834742; klinken;0,004184455; dronken;0,004014815; drink;0,004014815; gedronken;0,003986542; venus;0,003929995; geld;0,003901722; fluit;0,003816902; volle;0,003675535; vrienden;0,003675535; dronk;0,0036189884; kom;0,003562442
